company_id,company_name,company_industry
1435,King,Media & Entertainment
1448,Siemens AG,Healthcare
1477,Insight Global,Staffing & Recruitment
1481,Booz Allen Hamilton,Consulting & Professional Services
1488,SAIC,Defense & Aerospace
1489,Epam,Technology
1513,Understanding Recruitment Ltd,Staffing & Recruitment
1526,Barclays,Financial Services
1531,BairesDev,Technology
1557,Crossover,Staffing & Recruitment
1559,Afiniti,Technology
1587,Encora,Technology
1597,Turing,Staffing & Recruitment
1613,Intuit,Technology
1622,Deloitte,Consulting & Professional Services
1630,Grid Dynamics,Technology
1631,Bank of America,Financial Services
1640,Equifax Inc.,Financial Services
1644,Henkel,Manufacturing
1647,Salesforce,Technology
1655,Visa,Financial Services
1666,Majid Al Futtaim,Retail & E-commerce
1676,Andela,Staffing & Recruitment
1685,Absa Group Limited,Financial Services
1686,FNB South Africa,Financial Services
1688,Old Mutual,Financial Services
1710,Sanlam,Financial Services
1731,BMW Group,Manufacturing
1739,Highmark Health,Healthcare
1740,Molina Healthcare,Healthcare
1741,Meta,Technology
1773,Apex Systems,Staffing & Recruitment
1776,PŸUR,Consulting & Professional Services
1807,Agensi Pekerjaan BTC Sdn Bhd,Staffing & Recruitment
1813,Snaphunt,Staffing & Recruitment
1830,OCBC Bank,Financial Services
1880,Macquarie Group,Financial Services
1884,Johnson Controls,Manufacturing
1908,UST,Technology
1928,Professional Diversity Network,Staffing & Recruitment
1988,Lockheed Martin,Defense & Aerospace
2003,Salt,Staffing & Recruitment
2016,Amentum,Defense & Aerospace
2056,GSK,Healthcare
2079,Urban Linker,Staffing & Recruitment
2112,THALES,Technology
2143,Experian,Consulting & Professional Services
2145,Sportradar,Media & Entertainment
2156,Comcast Corporation,Telecommunications
2158,Humana,Healthcare
2180,Sigma Software,Technology
2183,Nordea,Financial Services
2185,Cognizant,Consulting & Professional Services
2200,Palo Alto Networks,Technology
2202,Network Recruitment,Staffing & Recruitment
2207,Fusemachines,Technology
2231,Emapta,Staffing & Recruitment
2233,Wipro,Consulting & Professional Services
2254,Binance,Financial Services
2263,emerson,Manufacturing
2295,Vestas,Energy & Utilities
2296,MSD,Healthcare
2307,S&P Global,Financial Services
2359,Varonis,Technology
2375,Bolt,Transportation & Logistics
2387,Scalo Sp. z o.o.,Technology
2388,Nord Security,Technology
2420,Robert Half,Staffing & Recruitment
2453,Siemens Energy,Energy & Utilities
2468,Bosch Group,Manufacturing
2472,MasterCard,Financial Services
2475,Devoteam,Consulting & Professional Services
2490,IQM Quantum Computers,Technology
2493,Amazon Services Inc.,Retail & E-commerce
2524,ZEISS,Manufacturing
3120,Micron Technology,Technology
3186,BP,Energy & Utilities
3198,Aviva,Financial Services
3214,Opus Recruitment Solutions,Staffing & Recruitment
3282,Tripadvisor,Media & Entertainment
3297,CareerValue,Staffing & Recruitment
3412,Talenza,Staffing & Recruitment
3425,Sky,Media & Entertainment
3446,Fractal,Technology
3456,Xero,Technology
3502,Data2Bots,Technology
3522,LINCOLN,Staffing & Recruitment
3523,Capgemini Engineering,Consulting & Professional Services
3542,Confiz,Technology
3553,United Overseas Bank,Financial Services
3554,TIKTOK PTE. LTD.,Media & Entertainment
3586,Fullstack Labs,Consulting & Professional Services
3589,Netflix,Media & Entertainment
3601,Brooksource,Staffing & Recruitment
3615,Vanguard,Financial Services
3663,Dialog Axiata PLC,Telecommunications
3667,PERSOLKELLY Hong Kong Limited,Staffing & Recruitment
3682,E Merge,Staffing & Recruitment
3687,Banco Pichincha,Financial Services
3710,SONY,Technology
3743,LHH,Staffing & Recruitment
3807,BairesDev SA,Technology
3812,Cox Communications,Telecommunications
3845,Fidelity Investments,Financial Services
3883,Playrix,Media & Entertainment
3885,MCKESSON,Healthcare
3893,Optimizely,Technology
3921,Target,Retail & E-commerce
3922,CACI,Consulting & Professional Services
3926,GeekHunter,Staffing & Recruitment
3948,Iris Software Inc.,Technology
3949,Actalent,Consulting & Professional Services
4033,Mindlance,Staffing & Recruitment
4044,Upwork,Technology
4048,The Judge Group,Staffing & Recruitment
4130,The Home Depot,Retail & E-commerce
4133,DataArt,Consulting & Professional Services
4172,Nityo Infotech,Technology
4211,Novo Nordisk,Healthcare
4216,NVIDIA,Technology
4228,Vattenfall,Energy & Utilities
4229,Infosys,Consulting & Professional Services
4241,Accenture Baltics,Consulting & Professional Services
4253,Tech Mahindra,Technology
4278,Uplers,Staffing & Recruitment
4283,Olisipo,Staffing & Recruitment
4300,ReQuest GmbH,Staffing & Recruitment
4315,Datashift,Consulting & Professional Services
4319,Academic Work,Staffing & Recruitment
4324,Alten,Consulting & Professional Services
4349,Virtusa,Technology
4367,Tesla,Manufacturing
4387,Genesis10,Staffing & Recruitment
4402,NTT DATA Europe & Latam,Technology
4437,Publicis Sapient,Consulting & Professional Services
4439,Talan,Consulting & Professional Services
4478,Genpact,Consulting & Professional Services
4495,PBT Group,Technology
4588,Adobe,Technology
4595,Omicron srl,Technology
4648,AgileEngine,Technology
4651,Proofpoint,Technology
4669,Intel,Technology
4683,USAA,Financial Services
4690,Collabera,Consulting & Professional Services
4697,MAIB,Financial Services
4705,Stanford University,Education
4736,Fusion Plus Solutions Inc,Staffing & Recruitment
4776,CoolPeople,Technology
4793,Visservanbaars,Staffing & Recruitment
4808,Hays (Schweiz) AG,Staffing & Recruitment
4821,SOLCOM GmbH,Staffing & Recruitment
4851,Optum,Healthcare
4868,Dynatrace,Technology
4879,Decskill,Technology
4885,Rabobank,Financial Services
4894,Wolt,Transportation & Logistics
4905,Royal Bank of Canada,Financial Services
4906,LTIMindtree,Technology
4909,Microsoft,Technology
4937,Chubb,Financial Services
4942,CELAD,Consulting & Professional Services
4959,Sanofi,Healthcare
4995,Kaiser Permanente,Healthcare
5027,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Technology
5035,Nagarro,Technology
5090,Western Digital,Technology
5106,New Zealand Government,Government & Public Sector
5112,Smart Conseil,Consulting & Professional Services
5136,Tiger Analytics,Consulting & Professional Services
5141,Navy Federal Credit Union,Financial Services
5175,AUTO1 Group,Retail & E-commerce
5210,Kaizen Gaming,Media & Entertainment
5223,Amazon Europe Core,Technology
5226,Tipico,Media & Entertainment
5247,TRM Labs,Technology
5271,TotalEnergies,Energy & Utilities
5433,Bristol Myers Squibb,Healthcare
5476,Luxoft,Technology
5506,PedidosYa,Transportation & Logistics
5509,Konnekt,Technology
5568,TaskUs,Consulting & Professional Services
5569,Prometeo Talent,Staffing & Recruitment
5575,Hewlett Packard Enterprise,Technology
5576,TeleSign,Technology
5632,Blend360,Consulting & Professional Services
5635,SpotOn Connections,Staffing & Recruitment
5667,Continental,Manufacturing
5674,normal,Retail & E-commerce
5711,G-STAT,Technology
5733,AT&T,Telecommunications
5765,Northrop Grumman,Defense & Aerospace
5791,Société Générale,Financial Services
5797,Jacobs,Consulting & Professional Services
5825,Swiss International Air Lines AG,Transportation & Logistics
5854,Tria,Staffing & Recruitment
5867,Groupe BPCE,Financial Services
5937,Client Server,Staffing & Recruitment
5955,Chewy,Retail & E-commerce
6004,Morgan Mckinley,Staffing & Recruitment
6020,Commonwealth Bank,Financial Services
6053,Worley,Consulting & Professional Services
6106,DBS Bank Limited,Financial Services
6163,Infomineo,Technology
6377,Moloco,Technology
6409,General Motors,Manufacturing
6427,Anblicks,Technology
6503,Arcadis,Consulting & Professional Services
6531,Swiss Re,Financial Services
6532,Blankfactor,Technology
6574,Peoplebank Hong Kong Limited,Staffing & Recruitment
6634,Parvana,Staffing & Recruitment
6635,Datafin,Staffing & Recruitment
6660,Cardinal Health,Healthcare
6672,HAYS PROFESSIONAL SOLUTIONS GMBH,Staffing & Recruitment
6674,Anson McCade,Staffing & Recruitment
6729,ConnectedGroup,Staffing & Recruitment
6741,Aston Carter,Staffing & Recruitment
6759,Cloudera,Technology
6778,Baobab Group,Financial Services
6836,Atos,Technology
6971,Hunter Bond,Staffing & Recruitment
7033,US Tech Solutions,Staffing & Recruitment
7063,Peaple Talent,Staffing & Recruitment
7096,the LEGO Group,Media & Entertainment
7101,Selby Jennings,Staffing & Recruitment
7149,GEICO,Financial Services
7210,Santander,Financial Services
7211,BNY Mellon,Financial Services
7247,Endava,Technology
7263,Halian,Staffing & Recruitment
7354,KPMG Jamaica (JESS),Consulting & Professional Services
7375,EPAM Anywhere,Technology
7431,Eneco,Energy & Utilities
7473,Keylent Inc,Staffing & Recruitment
7494,Chubb INA Holdings Inc.,Financial Services
7601,ADP,Technology
7607,"Yoh, A Day & Zimmermann Company",Staffing & Recruitment
7723,TIAA,Financial Services
7813,Hire Resolve,Staffing & Recruitment
7908,National University of Singapore,Education
7944,Rose International,Staffing & Recruitment
8013,University of Florida,Education
8043,Circle,Financial Services
8092,Amazon.com Services LLC,Retail & E-commerce
8108,Micron,Technology
8145,First Quantum Minerals,Energy & Utilities
8158,Elevance Health,Healthcare
8173,Kforce,Staffing & Recruitment
8387,EXL INDIA,Consulting & Professional Services
8397,Concentrix,Consulting & Professional Services
8410,Betsson Group,Media & Entertainment
8421,NatWest Group,Financial Services
8468,Candidly,Financial Services
8471,Farfetch,Retail & E-commerce
8485,SEB,Financial Services
8540,Nexus Systems Group Inc.,Staffing & Recruitment
8564,Iron EagleX,Defense & Aerospace
8604,CareCone Group,Staffing & Recruitment
8632,Commonwealth Bank Of Australia,Financial Services
8638,Databricks,Technology
8717,SQLI,Technology
8751,Adecco Personnel Pte Ltd,Staffing & Recruitment
8820,Volvo Group,Manufacturing
8866,Pure Storage,Technology
8890,Schneider Electric,Manufacturing
8905,Te Connectivity,Technology
8942,Applaudo Studios,Technology
8944,EQUALS TRUE,Staffing & Recruitment
8979,Swing Consulting Ltd.,Consulting & Professional Services
8980,Pinpoint Asia,Staffing & Recruitment
8991,E-Merge IT Recruitment,Staffing & Recruitment
8995,Тинькофф,Financial Services
8999,Rappi,Retail & E-commerce
9000,Popular,Financial Services
9245,akkodis,Staffing & Recruitment
9294,Rivian,Manufacturing
9380,Equinix,Technology
9381,dLocal,Financial Services
9408,Netskope Taiwan,Technology
9455,AXA Hong Kong,Financial Services
9464,UNLOCK DESIGN,Staffing & Recruitment
9494,Smart Axiata,Telecommunications
9659,Splunk,Technology
9664,KBC Technologies Group,Staffing & Recruitment
9725,StepStone GmbH,Staffing & Recruitment
9802,G Talent,Staffing & Recruitment
9939,NBCUniversal,Media & Entertainment
9941,Cpl Healthcare,Staffing & Recruitment
10029,Boeing,Defense & Aerospace
10033,Firebolt,Technology
10127,Bank of China,Financial Services
10160,Evolution,Media & Entertainment
10206,AMA European Consulting,Consulting & Professional Services
10217,Wargaming,Media & Entertainment
10244,Synchrony,Financial Services
10252,Zurich Insurance,Financial Services
10263,Sightness,Technology
10317,Natixis in Portugal,Financial Services
10341,Klarna,Financial Services
10342,SAP,Technology
10382,Ebury,Financial Services
10432,Caterpillar Inc.,Manufacturing
10458,Discover Financial Services,Financial Services
10506,Relativity,Technology
10575,Zendesk,Technology
10582,WorldQuant,Financial Services
10675,Vaco,Staffing & Recruitment
10688,Atlassian,Technology
10720,HSBC,Financial Services
10730,HSO,Consulting & Professional Services
10755,MBN Solutions,Staffing & Recruitment
10940,TELUS International AI Data Solutions,Technology
10988,United World Inc,Staffing & Recruitment
11014,Jotform,Technology
11018,Takeda,Healthcare
11019,ICF,Consulting & Professional Services
11039,Caris Life Sciences,Healthcare
11054,Luminor Group,Financial Services
11204,BioCatch,Financial Services
11221,Standard Bank Group,Financial Services
11272,Accenture in India,Consulting & Professional Services
11293,The Hartford,Financial Services
11375,SendBird,Technology
11484,EPITEC,Staffing & Recruitment
11521,Xcede,Staffing & Recruitment
11572,lkcareers,Staffing & Recruitment
11576,Black Swan Data,Technology
11633,Red Bull,Media & Entertainment
11679,Reed Technology,Technology
11686,DWConsulware,Technology
11836,Aubay,Consulting & Professional Services
11845,Banco de Crédito BCP,Financial Services
11941,Walgreens,Retail & E-commerce
12092,KCS IT,Technology
12163,Home Depot,Retail & E-commerce
12171,Russell Tobin,Staffing & Recruitment
12255,Eliassen Group,Staffing & Recruitment
12377,ECS,Technology
12389,ICEYE,Defense & Aerospace
12473,American Express,Financial Services
12564,monday.com,Technology
12580,N-iX,Technology
12688,Oredata Yazılım Limited Şirketi,Technology
12740,FPT Software,Technology
12775,Ambition,Staffing & Recruitment
12854,Morgan Stanley,Financial Services
12880,Stripe,Financial Services
13021,State Farm,Financial Services
13091,OKX,Financial Services
13109,SentinelOne,Technology
13113,AppsFlyer,Technology
13219,World Food Programme,Government & Public Sector
13322,UN - United Nations,Government & Public Sector
13499,Boardroom Appointments,Staffing & Recruitment
13684,GIGROUP,Staffing & Recruitment
13702,Synechron,Technology
13703,Levy Professionals,Staffing & Recruitment
13720,John Deere,Manufacturing
13761,CI&T,Technology
13824,In Technology Group Limited,Staffing & Recruitment
13884,Clarivate,Technology
14013,Capital Empresarial Horizonte,Staffing & Recruitment
14059,Ciklum,Technology
14118,Wise,Financial Services
14150,Verizon,Telecommunications
14193,Bee Engineering ICT,Consulting & Professional Services
14413,NorthBay Solutions,Technology
14452,Deutsche Telekom IT Solutions Slovakia,Technology
14455,LSEG (London Stock Exchange Group),Financial Services
14914,TieTalent,Staffing & Recruitment
14932,Banque Internationale à Luxembourg (BIL),Financial Services
15066,Aspire,Technology
15217,Semrush,Technology
15312,Coca-Cola Europacific Partners,Manufacturing
15422,Citizens,Financial Services
15468,NEOM,Real Estate & Construction
15573,Prometeia,Financial Services
15604,Statkraft,Energy & Utilities
15691,emagine,Staffing & Recruitment
15756,Blue Yonder,Technology
15860,Singtel Group,Telecommunications
16223,ClassDojo,Education
16484,GrowByData,Technology
16563,Dimension Data,Technology
16736,Salla,Technology
16950,Intercom,Technology
17042,ilionx,Technology
17552,Coupang,Retail & E-commerce
17610,Globant,Technology
17635,Rakuten India,Technology
17686,Astek,Consulting & Professional Services
17704,Dautom,Staffing & Recruitment
17833,MentorMate,Technology
17835,Telia,Telecommunications
17855,abarca health,Healthcare
17927,BCP,Financial Services
17956,WhiteCrow,Staffing & Recruitment
18081,Falabella,Retail & E-commerce
18126,AskBlue,Technology
18182,SPIE,Consulting & Professional Services
18472,Fivetran,Technology
18488,Yassir,Transportation & Logistics
18495,Adecco Italia,Staffing & Recruitment
18932,KLM,Transportation & Logistics
19234,adesso,Technology
19311,AXA Group,Financial Services
19821,System One,Staffing & Recruitment
19922,Randstad Hellas,Staffing & Recruitment
20016,Treasure Data,Technology
20118,People Prime Worldwide,Staffing & Recruitment
20244,Cegeka,Technology
20254,SUSE,Technology
20996,Hitachi,Manufacturing
21046,VAM Systems,Staffing & Recruitment
21088,Mozn,Technology
21348,RECRUIT EXPRESS PTE LTD,Staffing & Recruitment
21712,Hackajob Ltd,Staffing & Recruitment
21728,Medtronic,Healthcare
22100,ISG Personalmanagement GmbH,Staffing & Recruitment
22186,GITR,Staffing & Recruitment
22301,Candidzone,Staffing & Recruitment
22304,Checkout.com,Financial Services
22491,MicroSourcing,Staffing & Recruitment
22532,Millicom,Telecommunications
22567,Fidelity International,Financial Services
22732,Búsquedas IT,Staffing & Recruitment
23281,M-KOPA,Energy & Utilities
23282,BURN Manufacturing,Manufacturing
23480,Classy Wheeler Limited,Staffing & Recruitment
23559,Deutsche Telekom IT Solutions HU,Technology
23843,Datacom,Consulting & Professional Services
23965,Expro,Energy & Utilities
24034,Clearcompany,Technology
24096,Grab,Transportation & Logistics
24218,Canonical,Technology
24264,Сбер для экспертов,Financial Services
24421,"билайн: ИТ, Data, Digital",Telecommunications
24529,Huawei,Telecommunications
24616,Bluebird,Staffing & Recruitment
24711,Sharp Brains,Consulting & Professional Services
24850,inDrive,Technology
24966,Сбер. IT,Financial Services
25149,Satori Analytics,Technology
25203,BJSS,Consulting & Professional Services
25291,Zillow,Real Estate & Construction
25524,Die Schweizerische Post,Transportation & Logistics
25546,University of Rochester,Education
25806,Popular Bank,Financial Services
25889,Collabera Digital,Staffing & Recruitment
25962,Intelcia,Consulting & Professional Services
26229,Sedgwick,Financial Services
26665,Novartis,Healthcare
26929,Banco Santander SA,Financial Services
27226,Specialized Group,Staffing & Recruitment
27269,Spuerkeess,Financial Services
27482,eHealth4everyone,Healthcare
27620,Motive,Technology
27944,Sii Poland,Technology
28106,Oliver Bernard,Staffing & Recruitment
28176,Belfius,Financial Services
28378,Digicel Group,Telecommunications
28443,"Mercari, Inc.",Retail & E-commerce
28454,Glovo,Transportation & Logistics
28532,United Nations Development Programme,Government & Public Sector
28635,Сбер. Data Science,Financial Services
28750,Brightwater,Staffing & Recruitment
29114,Compunnel Inc.,Staffing & Recruitment
29338,Token Metrics,Financial Services
29599,Doximity,Healthcare
29642,Hays Technology,Staffing & Recruitment
29890,Wasoko,Retail & E-commerce
29984,INSPYR Solutions,Staffing & Recruitment
30197,Integer Consulting,Technology
30302,Statistics New Zealand,Government & Public Sector
31466,Hewlett Packard,Technology
31557,OpenClassrooms,Education
31934,IO Associates,Staffing & Recruitment
32065,OneMarketData,Technology
32097,JAKALA,Consulting & Professional Services
32137,Innova Solutions,Technology
32227,Techcombank (TCB),Financial Services
32381,ALTEN Maroc,Consulting & Professional Services
32626,Interbank,Financial Services
32635,AUTODOC,Retail & E-commerce
32707,ITDS,Consulting & Professional Services
32798,DT Global,Consulting & Professional Services
32801,Koko Networks,Energy & Utilities
33888,LSports,Technology
33966,Resource Informatics Group,Staffing & Recruitment
34051,Nikel,Financial Services
34212,Noesis Portugal,Consulting & Professional Services
34351,OTP Bank,Financial Services
34591,Recru-IT,Staffing & Recruitment
34944,Consulytic,Consulting & Professional Services
35250,Sabenza IT,Staffing & Recruitment
35481,Райффайзен Банк,Financial Services
36745,Kforce Technology,Staffing & Recruitment
36817,Aliz,Media & Entertainment
37256,Gear Inc.,Consulting & Professional Services
37613,BAH Partners,Staffing & Recruitment
38005,Cognism,Technology
38927,Systems Limited,Technology
39624,Moody's,Financial Services
40296,Dellent,Staffing & Recruitment
40415,Parallel,Technology
41434,Samsara,Technology
41494,University of Luxembourg,Education
44309,Master Works,Manufacturing
44995,AeStudio,Technology
45006,Gozem,Transportation & Logistics
45105,3m,Manufacturing
45411,BNZ,Financial Services
45559,Live Connections,Staffing & Recruitment
45660,DoubleCloud,Technology
45992,スキルハウス・スタッフィング・ソリューションズ株式会社,Staffing & Recruitment
46012,Primeit,Technology
46075,«UZUM TECHNOLOGIES».,Technology
46209,Laterite,Consulting & Professional Services
46381,Arch Global Services (Philippines) Inc.,Financial Services
46551,Network Finance,Financial Services
46738,Kifiya Financial Technologies,Financial Services
47251,Launchpad Technologies Inc.,Technology
47360,Marriott International,Real Estate & Construction
47386,GetInData | Part of Xebia,Consulting & Professional Services
47582,Schiphol,Transportation & Logistics
47923,Gauss Labs,Technology
47924,Jobberman,Technology
48021,Indra,Defense & Aerospace
48044,Sagicor Group Jamaica Limited,Financial Services
48904,Talentica Bulgaria,Staffing & Recruitment
50109,Unity Infotech,Technology
51149,Exness,Financial Services
51716,Communicate IT,Consulting & Professional Services
51719,KMS Technology,Technology
51771,ABA Bank,Financial Services
52488,Gotfriends,Staffing & Recruitment
52622,ReversingLabs,Technology
52682,NORC at the University of Chicago,Consulting & Professional Services
53580,iOLAP,Consulting & Professional Services
53887,BRMi,Consulting & Professional Services
53992,Social Discovery Group,Technology
54158,Motion,Retail & E-commerce
54229,ASB Bank,Financial Services
55502,SojoJob,Staffing & Recruitment
55559,FLYWHEEL Inc.,Technology
55795,United Nations Economic and Social Commission for Western Asia,Government & Public Sector
59377,bet365,Media & Entertainment
61336,Business Commercial Management,Technology
61834,Network IT,Staffing & Recruitment
62037,Capital.com,Financial Services
62390,Domino Data Lab,Technology
64432,DataTeam,Consulting & Professional Services
65572,Earthlinktele,Telecommunications
66286,Active Connector,Staffing & Recruitment
66570,Kerry Express (Thailand) Limited,Transportation & Logistics
66761,RedScreen (Pty) Ltd.,Technology
67076,Econet Wireless Zimbabwe,Telecommunications
67887,Women in Data®,Education
68105,Work Selection,Staffing & Recruitment
68746,Phiture,Consulting & Professional Services
69294,"Global Channel Management, Inc.",Staffing & Recruitment
69454,Sertis,Technology
69544,Foundation AI,Technology
69828,LEGO Gruppe,Manufacturing
70759,Techolution,Technology
71070,Digicel,Telecommunications
72487,Happening,Technology
73490,United Nations Children's Fund,Government & Public Sector
73497,Maples Group,Financial Services
73539,Baltic Apprenticeships,Education
73567,Havas Group Perú,Media & Entertainment
74400,Smart Talent,Staffing & Recruitment
74704,Saxon Global,Staffing & Recruitment
74836,Exadel,Technology
75320,Zapier,Technology
75533,DLH Corporation,Government & Public Sector
75542,InTalent Asia,Staffing & Recruitment
76579,Synthesia,Technology
76942,La Fosse,Staffing & Recruitment
81835,UNDP - United Nations Development Programme,Government & Public Sector
82639,Windfall,Technology
82829,Mapbox,Technology
82949,Leyton,Consulting & Professional Services
85400,Empresa: Bairesdev,Technology
85956,Meridian Energy,Energy & Utilities
86385,VNG Corporation,Technology
86675,Orient Software Development Corp.,Technology
86819,Cnexia,Telecommunications
87639,NIX Tech Kft.,Technology
88492,Pipedrive,Technology
88692,RED TIC,Staffing & Recruitment
89193,Agilon Health,Healthcare
89402,Growth Acceleration Partners,Technology
90324,Emergn,Technology
90560,Aiven,Technology
90736,Innowise Group / Фабрика инноваций и решений,Technology
91303,Intermountain Health,Healthcare
93005,EVYD Technology,Healthcare
93656,Status Pro,Staffing & Recruitment
93822,Kaspi.kz,Financial Services
94312,BMA Group Global,Staffing & Recruitment
96224,ProgressSoft,Technology
98336,Tencent Holdings Limited,Media & Entertainment
99014,Harrington Starr,Staffing & Recruitment
99045,Bertoni Solutions,Technology
104118,Bluevine,Financial Services
105945,Tabby,Financial Services
106187,Nearsure,Consulting & Professional Services
107094,Zalo,Technology
110160,Cedar Gate Services,Healthcare
110348,Harnham   Data & Analytics Recruitment,Staffing & Recruitment
111613,Evolent Health,Healthcare
112220,SNV,Consulting & Professional Services
113069,Dropsuite,Technology
114629,Truelogic Software,Technology
119702,SHI,Technology
122958,3Pillar Global,Technology
124446,Coherent Solutions,Technology
124529,Augmedix,Healthcare
129079,"Ek-Chai Distribution System Co., Ltd. (โลตัส)",Retail & E-commerce
130235,Sofrecom Maroc,Telecommunications
130804,ConnectOS,Consulting & Professional Services
131004,HUMAN,Technology
131879,Allianz Services,Financial Services
136273,Matific,Education
137910,SNI,Staffing & Recruitment
139799,Hiflylabs,Consulting & Professional Services
142433,Databiz,Technology
142662,Peroptyx,Technology
144422,Amazon Web Services (AWS),Technology
147349,Globaldev Group,Technology
148822,Kolle Rebbe,Media & Entertainment
149688,Orange Business,Consulting & Professional Services
157875,Ocorian,Financial Services
